amfi_code,scheme_name,fund_house,category,plan,return_1yr_pct,return_3yr_pct,return_5yr_pct,benchmark_3yr_pct,alpha,beta,sharpe_ratio,sortino_ratio,std_dev_ann_pct,max_drawdown_pct,aum_crore,expense_ratio_pct,morningstar_rating,risk_grade,anomaly_flag
120505,Icici Pru Midcap Fund - Regular - Growth,Icici Prudential Mf,Mid Cap,Regular,14.02,18.08,17.55,17.19,0.89,1.0,0.95,1.45,19.0,-21.84,979,1.36,3,High,False
120506,Icici Pru Value Discovery Fund - Regular - Growth,Icici Prudential Mf,Value,Regular,16.67,14.76,12.6,14.21,0.55,0.92,0.98,1.5,15.0,-21.89,2571,1.41,4,Moderately High,False
120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra Mf,Flexi Cap,Regular,15.74,15.65,13.5,13.8,1.85,0.95,0.98,1.57,16.0,-19.5,35012,1.45,5,Moderately High,False
120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra Mf,Large Cap,Regular,14.37,12.25,13.42,10.98,1.27,0.93,0.87,1.34,14.0,-17.86,35585,1.59,3,Moderate,False
120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra Mf,Liquid,Regular,4.26,6.18,8.26,4.66,1.52,0.47,6.18,9.7,0.5,-3.81,27623,0.6,3,Low,False
120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra Mf,Mid Cap,Regular,17.12,18.23,17.75,16.32,1.91,1.0,0.96,1.27,19.0,-21.92,47469,1.56,4,High,False
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset Mf,Elss,Regular,11.16,13.58,14.26,13.04,0.54,0.98,0.8,1.03,17.0,-22.62,2989,1.6,5,High,False
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset Mf,Large & Mid Cap,Regular,14.91,14.56,15.68,12.86,1.7,0.99,0.91,1.55,16.0,-33.15,49046,1.52,5,Moderately High,False
148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset Mf,Large Cap,Regular,15.12,14.81,12.68,13.19,1.62,0.96,1.06,1.66,14.0,-17.07,11361,1.46,5,Moderate,False
118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India Mf,Gilt,Regular,6.19,5.31,8.71,4.42,0.89,0.37,1.33,2.38,4.0,-2.23,30030,0.55,4,Low,False
118635,Nippon India Etf Nifty 50 Bees,Nippon India Mf,Index/Etf,Direct,10.14,11.77,12.31,9.97,1.8,1.04,0.91,1.24,13.0,-26.75,20284,0.89,5,Moderate,False
118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India Mf,Large Cap,Regular,15.84,14.0,14.7,13.14,0.86,0.88,1.0,1.68,14.0,-16.07,20909,1.51,4,Moderate,False
118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India Mf,Large Cap,Direct,14.42,12.33,14.72,10.63,1.7,1.02,0.88,1.48,14.0,-18.14,39475,0.72,3,Moderate,False
118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India Mf,Small Cap,Regular,21.3,20.15,21.88,19.35,0.8,1.03,0.81,1.14,25.0,-30.87,43630,1.53,4,Very High,False
119120,Sbi Magnum Gilt Fund - Regular Plan - Growth,Sbi Mutual Fund,Gilt,Regular,5.34,6.07,5.43,4.47,1.6,0.22,1.52,2.11,4.0,-2.3,24101,0.77,5,Low,False
119551,Sbi Bluechip Fund - Regular Plan - Growth,Sbi Mutual Fund,Large Cap,Regular,12.42,12.36,14.45,11.49,0.87,0.89,0.88,1.29,14.0,-21.7,14288,1.54,4,Moderate,False
119552,Sbi Bluechip Fund - Direct Plan - Growth,Sbi Mutual Fund,Large Cap,Direct,15.25,11.3,14.23,9.52,1.78,0.87,0.81,1.29,14.0,-24.43,1231,0.66,3,Moderate,False
119598,Sbi Small Cap Fund - Regular Plan - Growth,Sbi Mutual Fund,Small Cap,Regular,24.56,23.39,20.67,22.16,1.23,0.89,0.94,1.35,25.0,-13.35,19259,1.43,5,Very High,False
119599,Sbi Small Cap Fund - Direct Plan - Growth,Sbi Mutual Fund,Small Cap,Direct,20.59,23.14,21.82,22.01,1.13,1.04,0.93,1.67,25.0,-24.78,36061,0.72,4,Very High,False
102887,Uti Flexi Cap Fund - Regular - Growth,Uti Mutual Fund,Flexi Cap,Regular,17.43,15.34,15.78,13.55,1.79,1.0,0.96,1.37,16.0,-12.14,17912,1.64,5,Moderately High,False
102885,Uti Nifty 50 Index Fund - Regular - Growth,Uti Mutual Fund,Index,Regular,13.76,12.1,11.31,11.17,0.93,0.9,0.93,1.29,13.0,-24.42,7350,1.57,4,Moderate,False
102886,Uti Mid Cap Fund - Regular - Growth,Uti Mutual Fund,Mid Cap,Regular,16.3,15.61,15.86,14.49,1.12,0.92,0.82,1.21,19.0,-13.43,41728,1.51,5,High,False
