investor_id,sip_transaction_count,avg_gap_days,max_gap_days,status
INV000549,6,96.2,146.0,at-risk
INV000553,6,72.0,172.0,at-risk
INV000554,6,70.2,171.0,at-risk
INV000556,8,52.42857142857143,156.0,at-risk
INV000562,6,74.4,197.0,at-risk
INV000563,7,76.33333333333333,198.0,at-risk
INV000566,7,35.0,119.0,regular
INV000567,6,63.8,166.0,at-risk
INV000568,6,62.4,180.0,at-risk
INV000570,8,67.28571428571429,186.0,at-risk
INV000573,7,50.833333333333336,154.0,at-risk
INV000575,6,71.6,155.0,at-risk
INV000578,7,66.83333333333333,164.0,at-risk
INV000581,7,78.33333333333333,160.0,at-risk
INV000586,7,44.5,111.0,at-risk
INV000589,9,59.125,90.0,at-risk
INV000591,7,64.5,112.0,at-risk
INV000593,6,74.2,179.0,at-risk
INV000596,9,51.75,140.0,at-risk
INV000597,6,88.6,198.0,at-risk
INV000599,7,81.5,171.0,at-risk
INV000607,7,66.66666666666667,209.0,at-risk
INV000608,6,100.2,324.0,at-risk
INV000609,6,47.0,87.0,at-risk
INV000612,11,49.3,169.0,at-risk
INV000615,7,55.833333333333336,139.0,at-risk
INV000624,7,31.666666666666668,53.0,regular
INV000625,6,86.4,134.0,at-risk
INV000630,7,68.66666666666667,161.0,at-risk
INV000631,6,54.0,145.0,at-risk
INV000634,9,52.25,147.0,at-risk
INV000635,6,75.0,240.0,at-risk
INV000641,6,54.8,126.0,at-risk
INV000642,9,53.5,139.0,at-risk
INV000645,6,66.0,127.0,at-risk
INV000646,7,62.333333333333336,138.0,at-risk
INV000651,6,94.0,304.0,at-risk
INV000652,6,93.8,262.0,at-risk
INV000657,8,64.71428571428571,106.0,at-risk
INV000662,8,66.14285714285714,185.0,at-risk
INV000663,6,94.4,247.0,at-risk
INV000665,10,36.22222222222222,148.0,at-risk
INV000667,6,68.0,134.0,at-risk
INV000673,6,92.8,235.0,at-risk
INV000675,6,62.8,155.0,at-risk
INV000676,11,35.3,106.0,at-risk
INV000678,7,63.333333333333336,140.0,at-risk
INV000683,9,54.5,137.0,at-risk
INV000690,8,56.285714285714285,134.0,at-risk
INV000691,6,66.4,163.0,at-risk
INV000698,9,52.25,219.0,at-risk
INV000699,6,42.8,147.0,at-risk
INV000701,7,83.66666666666667,298.0,at-risk
INV000707,9,34.375,106.0,regular
INV000709,7,65.16666666666667,128.0,at-risk
INV000710,6,88.6,264.0,at-risk
INV000714,9,37.0,95.0,at-risk
INV000718,7,57.833333333333336,118.0,at-risk
INV000719,7,72.83333333333333,185.0,at-risk
INV000724,6,81.2,227.0,at-risk
INV000725,7,67.66666666666667,92.0,at-risk
INV000734,8,64.0,180.0,at-risk
INV000737,6,92.6,168.0,at-risk
INV000747,6,84.6,205.0,at-risk
INV000750,9,26.5,84.0,regular
INV000751,9,53.0,193.0,at-risk
INV000754,7,72.33333333333333,103.0,at-risk
INV000759,7,83.0,156.0,at-risk
INV000761,7,75.16666666666667,173.0,at-risk
INV000768,8,60.0,124.0,at-risk
INV000772,6,46.0,81.0,at-risk
INV000774,7,73.66666666666667,169.0,at-risk
INV000776,8,59.42857142857143,116.0,at-risk
INV000777,6,66.0,121.0,at-risk
INV000778,8,59.714285714285715,182.0,at-risk
INV000779,6,75.0,153.0,at-risk
INV000783,6,89.8,187.0,at-risk
INV000785,6,32.6,66.0,regular
INV000786,9,64.125,199.0,at-risk
INV000789,8,55.142857142857146,225.0,at-risk
INV000793,8,69.14285714285714,149.0,at-risk
INV000803,7,77.16666666666667,147.0,at-risk
INV000814,6,94.0,195.0,at-risk
INV000822,7,55.5,141.0,at-risk
INV000823,7,39.666666666666664,69.0,at-risk
INV000827,8,58.285714285714285,122.0,at-risk
INV000830,6,72.2,165.0,at-risk
INV000833,8,67.28571428571429,182.0,at-risk
INV000836,6,84.8,123.0,at-risk
INV000843,6,55.6,102.0,at-risk
INV000844,7,66.16666666666667,151.0,at-risk
INV000847,6,47.8,75.0,at-risk
INV000853,10,49.333333333333336,193.0,at-risk
INV000854,9,61.25,170.0,at-risk
INV000858,9,44.875,157.0,at-risk
INV000862,6,91.2,372.0,at-risk
INV000864,6,40.8,106.0,at-risk
INV000865,9,45.75,99.0,at-risk
INV000869,6,65.4,100.0,at-risk
INV000873,7,73.5,299.0,at-risk
INV000874,9,62.125,149.0,at-risk
INV000877,6,59.4,159.0,at-risk
INV000881,10,46.111111111111114,155.0,at-risk
INV000887,7,65.66666666666667,268.0,at-risk
INV000888,7,80.33333333333333,166.0,at-risk
INV000893,7,59.5,147.0,at-risk
INV000894,6,55.0,105.0,at-risk
INV000901,6,54.0,95.0,at-risk
INV000907,6,59.2,139.0,at-risk
INV000920,6,75.6,220.0,at-risk
INV000926,6,80.0,111.0,at-risk
INV000929,7,58.166666666666664,116.0,at-risk
INV000930,8,32.42857142857143,118.0,regular
INV000935,9,30.875,73.0,regular
INV000939,8,60.57142857142857,154.0,at-risk
INV000942,7,53.0,92.0,at-risk
INV000949,7,67.5,135.0,at-risk
INV000950,6,91.0,215.0,at-risk
INV000971,7,46.833333333333336,139.0,at-risk
INV000974,7,73.5,143.0,at-risk
INV000977,10,48.77777777777778,147.0,at-risk
INV000979,6,79.8,115.0,at-risk
INV000980,8,44.42857142857143,121.0,at-risk
INV000981,6,50.4,104.0,at-risk
INV000986,7,60.833333333333336,182.0,at-risk
INV000994,6,63.8,167.0,at-risk
INV001001,8,60.285714285714285,137.0,at-risk
INV001002,7,41.666666666666664,85.0,at-risk
INV001005,6,93.6,206.0,at-risk
INV001008,7,64.66666666666667,191.0,at-risk
INV001013,6,96.8,164.0,at-risk
INV001017,6,67.0,142.0,at-risk
INV001019,9,44.875,180.0,at-risk
INV001021,7,68.66666666666667,186.0,at-risk
INV001023,8,72.42857142857143,202.0,at-risk
INV001025,6,38.8,76.0,at-risk
INV001026,6,69.4,132.0,at-risk
INV001037,10,42.0,86.0,at-risk
INV001039,6,66.2,187.0,at-risk
INV001041,7,83.0,195.0,at-risk
INV001047,7,66.16666666666667,142.0,at-risk
INV001048,8,47.0,84.0,at-risk
INV001051,8,54.142857142857146,139.0,at-risk
INV001053,8,55.857142857142854,116.0,at-risk
INV001055,6,93.2,177.0,at-risk
INV001060,9,53.375,89.0,at-risk
INV001061,9,51.125,141.0,at-risk
INV001063,8,43.285714285714285,120.0,at-risk
INV001064,9,59.5,160.0,at-risk
INV001069,8,41.285714285714285,98.0,at-risk
INV001070,6,97.0,329.0,at-risk
INV001092,7,77.33333333333333,186.0,at-risk
INV001099,8,26.142857142857142,63.0,regular
INV001102,7,55.333333333333336,87.0,at-risk
INV001115,6,81.4,290.0,at-risk
INV001116,9,58.125,194.0,at-risk
INV001117,8,61.714285714285715,137.0,at-risk
INV001130,7,76.83333333333333,131.0,at-risk
INV001137,7,57.0,120.0,at-risk
INV001140,6,60.4,125.0,at-risk
INV001141,6,97.6,132.0,at-risk
INV001142,7,42.833333333333336,106.0,at-risk
INV001156,6,102.4,175.0,at-risk
INV001160,8,57.57142857142857,99.0,at-risk
INV001161,6,80.6,159.0,at-risk
INV001163,7,67.33333333333333,255.0,at-risk
INV001167,6,96.2,207.0,at-risk
INV001170,6,68.2,119.0,at-risk
INV001173,6,67.0,146.0,at-risk
INV001178,7,79.66666666666667,140.0,at-risk
INV001180,6,74.4,198.0,at-risk
INV001181,8,67.42857142857143,163.0,at-risk
INV001190,6,97.0,198.0,at-risk
INV001195,8,53.42857142857143,167.0,at-risk
INV001196,6,92.2,169.0,at-risk
INV001202,8,58.0,103.0,at-risk
INV001206,6,83.6,190.0,at-risk
INV001208,7,51.833333333333336,107.0,at-risk
INV001210,9,36.875,93.0,at-risk
INV001217,8,60.142857142857146,205.0,at-risk
INV001219,8,50.857142857142854,118.0,at-risk
INV001220,7,77.16666666666667,104.0,at-risk
INV001223,7,70.83333333333333,175.0,at-risk
INV001234,8,60.57142857142857,119.0,at-risk
INV001235,9,59.0,161.0,at-risk
INV001237,6,98.0,182.0,at-risk
INV001238,7,68.5,220.0,at-risk
INV001242,6,69.8,128.0,at-risk
INV001251,6,82.0,223.0,at-risk
INV001262,7,44.833333333333336,116.0,at-risk
INV001274,7,73.33333333333333,161.0,at-risk
INV001275,7,66.66666666666667,140.0,at-risk
INV001282,6,67.0,196.0,at-risk
INV001287,6,92.2,157.0,at-risk
INV001288,7,45.666666666666664,148.0,at-risk
INV001291,6,76.2,181.0,at-risk
INV001295,9,50.75,165.0,at-risk
INV001298,7,71.83333333333333,158.0,at-risk
INV001299,9,51.25,121.0,at-risk
INV001304,6,97.6,177.0,at-risk
INV001308,9,54.625,147.0,at-risk
INV001310,6,81.2,232.0,at-risk
INV001314,10,50.44444444444444,130.0,at-risk
INV001315,7,51.833333333333336,124.0,at-risk
INV001316,6,92.4,198.0,at-risk
INV001317,6,84.8,162.0,at-risk
INV001318,10,46.22222222222222,150.0,at-risk
INV001326,8,69.42857142857143,182.0,at-risk
INV001329,6,68.2,97.0,at-risk
INV001331,6,94.2,202.0,at-risk
INV001332,7,80.0,179.0,at-risk
INV001333,7,78.66666666666667,185.0,at-risk
INV001336,8,65.85714285714286,198.0,at-risk
INV001348,7,47.833333333333336,121.0,at-risk
INV001351,7,70.5,208.0,at-risk
INV001355,6,60.2,187.0,at-risk
INV001356,6,79.2,191.0,at-risk
INV001359,7,72.5,313.0,at-risk
INV001361,7,50.5,103.0,at-risk
INV001367,6,99.0,222.0,at-risk
INV001375,7,78.5,176.0,at-risk
INV001376,7,78.66666666666667,181.0,at-risk
INV001383,8,56.142857142857146,117.0,at-risk
INV001387,9,57.25,130.0,at-risk
INV001394,8,63.57142857142857,171.0,at-risk
INV001400,6,76.8,266.0,at-risk
INV001401,6,68.6,197.0,at-risk
INV001406,10,47.666666666666664,202.0,at-risk
INV001407,6,45.2,141.0,at-risk
INV001415,8,68.14285714285714,173.0,at-risk
INV001418,6,88.6,187.0,at-risk
INV001419,6,85.8,137.0,at-risk
INV001423,8,48.57142857142857,105.0,at-risk
INV001428,6,79.4,174.0,at-risk
INV001432,6,71.4,175.0,at-risk
INV001434,6,80.6,178.0,at-risk
INV001442,9,57.125,238.0,at-risk
INV001454,7,73.0,176.0,at-risk
INV001455,8,64.71428571428571,153.0,at-risk
INV001457,6,43.8,63.0,at-risk
INV001458,7,59.833333333333336,101.0,at-risk
INV001466,6,44.6,82.0,at-risk
INV001472,6,79.0,141.0,at-risk
INV001482,6,80.6,280.0,at-risk
INV001485,9,55.0,150.0,at-risk
INV001491,6,98.8,260.0,at-risk
INV001497,9,63.0,138.0,at-risk
INV001504,9,54.25,134.0,at-risk
INV001507,6,86.2,167.0,at-risk
INV001510,7,66.83333333333333,124.0,at-risk
INV001514,7,51.833333333333336,72.0,at-risk
INV001516,6,56.8,85.0,at-risk
INV001526,6,50.4,134.0,at-risk
INV001530,7,64.66666666666667,122.0,at-risk
INV001532,7,56.833333333333336,101.0,at-risk
INV001536,7,69.0,189.0,at-risk
INV001545,6,92.8,208.0,at-risk
INV001547,7,72.16666666666667,119.0,at-risk
INV001548,6,80.6,197.0,at-risk
INV001550,7,79.0,191.0,at-risk
INV001551,6,61.8,131.0,at-risk
INV001562,10,44.22222222222222,146.0,at-risk
INV001564,8,55.714285714285715,157.0,at-risk
INV001569,6,83.4,314.0,at-risk
INV001579,7,75.0,193.0,at-risk
INV001580,7,45.666666666666664,119.0,at-risk
INV001585,6,56.6,182.0,at-risk
INV001587,7,65.0,144.0,at-risk
INV001597,7,56.0,165.0,at-risk
INV001599,6,58.2,133.0,at-risk
INV001602,6,93.8,294.0,at-risk
INV001603,7,54.5,93.0,at-risk
INV001605,8,60.57142857142857,136.0,at-risk
INV001606,7,67.66666666666667,148.0,at-risk
INV001616,9,53.0,117.0,at-risk
INV001623,6,92.0,188.0,at-risk
INV001625,6,72.0,209.0,at-risk
INV001628,8,51.714285714285715,139.0,at-risk
INV001629,7,67.5,82.0,at-risk
INV001631,6,57.0,101.0,at-risk
INV001636,9,48.875,159.0,at-risk
INV001641,6,88.4,168.0,at-risk
INV001644,6,65.6,89.0,at-risk
INV001645,6,67.6,202.0,at-risk
INV001649,10,51.666666666666664,120.0,at-risk
INV001651,7,78.66666666666667,130.0,at-risk
INV001653,6,55.2,94.0,at-risk
INV001654,7,56.0,137.0,at-risk
INV001656,8,59.857142857142854,246.0,at-risk
INV001662,6,60.2,147.0,at-risk
INV001672,9,34.0,130.0,regular
INV001673,11,49.3,181.0,at-risk
INV001680,9,58.875,200.0,at-risk
INV001683,7,72.5,186.0,at-risk
INV001689,6,83.6,153.0,at-risk
INV001690,7,81.16666666666667,114.0,at-risk
INV001691,6,82.0,254.0,at-risk
INV001694,8,66.14285714285714,144.0,at-risk
INV001697,9,62.5,287.0,at-risk
INV001699,6,83.2,183.0,at-risk
INV001709,6,51.8,84.0,at-risk
INV001711,7,65.83333333333333,189.0,at-risk
INV001712,6,66.6,144.0,at-risk
INV001715,8,68.28571428571429,188.0,at-risk
INV001718,6,84.0,237.0,at-risk
INV001724,7,69.66666666666667,134.0,at-risk
INV001728,8,50.57142857142857,131.0,at-risk
INV001737,7,56.833333333333336,191.0,at-risk
INV001738,9,47.5,153.0,at-risk
INV001739,9,52.5,96.0,at-risk
INV001741,6,89.4,260.0,at-risk
INV001744,7,78.5,155.0,at-risk
INV001752,7,69.33333333333333,170.0,at-risk
INV001753,11,42.8,128.0,at-risk
INV001757,8,55.57142857142857,121.0,at-risk
INV001759,10,49.55555555555556,126.0,at-risk
INV001769,6,98.0,166.0,at-risk
INV001772,6,95.0,184.0,at-risk
INV001775,8,29.142857142857142,65.0,regular
INV001777,9,57.625,156.0,at-risk
INV001778,8,63.57142857142857,283.0,at-risk
INV001797,7,79.66666666666667,132.0,at-risk
INV001800,7,49.666666666666664,132.0,at-risk
INV001802,7,61.666666666666664,151.0,at-risk
INV001803,6,59.0,127.0,at-risk
INV001804,8,55.857142857142854,126.0,at-risk
INV001806,8,60.0,209.0,at-risk
INV001809,6,95.6,249.0,at-risk
INV001811,9,54.25,196.0,at-risk
INV001822,6,19.8,43.0,regular
INV001823,8,58.142857142857146,172.0,at-risk
INV001826,6,51.2,128.0,at-risk
INV001828,8,44.42857142857143,91.0,at-risk
INV001831,6,72.8,181.0,at-risk
INV001837,7,62.833333333333336,157.0,at-risk
INV001841,6,56.2,129.0,at-risk
INV001853,8,47.42857142857143,95.0,at-risk
INV001858,8,55.142857142857146,261.0,at-risk
INV001865,7,63.5,145.0,at-risk
INV001866,6,58.8,117.0,at-risk
INV001870,7,76.0,164.0,at-risk
INV001871,7,55.0,101.0,at-risk
INV001883,6,99.2,203.0,at-risk
INV001885,6,71.2,128.0,at-risk
INV001886,9,50.75,129.0,at-risk
INV001890,6,102.6,207.0,at-risk
INV001891,6,96.4,261.0,at-risk
INV001909,8,62.142857142857146,121.0,at-risk
INV001912,6,86.4,256.0,at-risk
INV001920,7,39.0,76.0,at-risk
INV001921,8,68.57142857142857,225.0,at-risk
INV001923,7,80.66666666666667,106.0,at-risk
INV001924,7,59.166666666666664,119.0,at-risk
INV001927,6,58.8,91.0,at-risk
INV001929,6,66.2,242.0,at-risk
INV001937,8,60.42857142857143,253.0,at-risk
INV001938,9,43.0,112.0,at-risk
INV001943,6,74.4,171.0,at-risk
INV001950,7,60.166666666666664,134.0,at-risk
INV001951,7,58.833333333333336,124.0,at-risk
INV001954,6,86.8,273.0,at-risk
INV001955,6,76.0,199.0,at-risk
INV001961,6,83.4,234.0,at-risk
INV001969,6,79.2,163.0,at-risk
INV001971,8,54.714285714285715,87.0,at-risk
INV001972,8,42.42857142857143,153.0,at-risk
INV001978,6,83.2,112.0,at-risk
INV001979,6,55.4,100.0,at-risk
INV001982,6,85.8,289.0,at-risk
INV001986,7,47.666666666666664,98.0,at-risk
INV001987,7,67.0,241.0,at-risk
INV001990,8,45.285714285714285,91.0,at-risk
INV001993,6,56.6,147.0,at-risk
INV001995,6,48.6,94.0,at-risk
INV001997,6,88.6,168.0,at-risk
INV002001,6,84.8,335.0,at-risk
INV002006,6,73.6,157.0,at-risk
INV002010,6,74.6,103.0,at-risk
INV002017,7,44.666666666666664,99.0,at-risk
INV002018,6,63.6,106.0,at-risk
INV002019,6,68.8,117.0,at-risk
INV002025,7,55.833333333333336,92.0,at-risk
INV002033,7,55.0,123.0,at-risk
INV002034,8,69.0,166.0,at-risk
INV002037,6,33.2,61.0,regular
INV002038,6,84.0,202.0,at-risk
INV002051,6,78.6,159.0,at-risk
INV002052,7,44.166666666666664,114.0,at-risk
INV002069,10,47.55555555555556,95.0,at-risk
INV002070,7,81.33333333333333,118.0,at-risk
INV002083,10,51.666666666666664,193.0,at-risk
INV002085,6,65.0,220.0,at-risk
INV002090,6,90.2,231.0,at-risk
INV002092,7,33.5,54.0,regular
INV002101,6,80.2,248.0,at-risk
INV002102,6,44.8,63.0,at-risk
INV002107,8,71.14285714285714,298.0,at-risk
INV002111,8,62.42857142857143,123.0,at-risk
INV002119,6,78.0,195.0,at-risk
INV002121,7,68.5,197.0,at-risk
INV002122,7,40.333333333333336,97.0,at-risk
INV002127,6,60.2,113.0,at-risk
INV002134,7,82.66666666666667,180.0,at-risk
INV002138,6,91.8,189.0,at-risk
INV002142,9,45.5,162.0,at-risk
INV002143,8,63.57142857142857,148.0,at-risk
INV002149,8,42.285714285714285,215.0,at-risk
INV002150,6,73.6,216.0,at-risk
INV002151,9,60.375,201.0,at-risk
INV002153,7,67.83333333333333,194.0,at-risk
INV002154,6,89.4,175.0,at-risk
INV002155,6,78.0,190.0,at-risk
INV002157,7,58.5,142.0,at-risk
INV002159,6,65.0,104.0,at-risk
INV002162,9,58.375,198.0,at-risk
INV002166,6,99.2,248.0,at-risk
INV002171,7,55.833333333333336,150.0,at-risk
INV002177,7,73.0,330.0,at-risk
INV002178,8,66.42857142857143,236.0,at-risk
INV002179,8,54.142857142857146,171.0,at-risk
INV002182,7,70.5,148.0,at-risk
INV002185,6,48.4,92.0,at-risk
INV002186,7,74.83333333333333,167.0,at-risk
INV002187,7,67.83333333333333,221.0,at-risk
INV002195,9,49.25,154.0,at-risk
INV002196,8,62.142857142857146,115.0,at-risk
INV002198,9,43.0,93.0,at-risk
INV002199,7,50.833333333333336,94.0,at-risk
INV002202,8,70.42857142857143,276.0,at-risk
INV002206,7,49.0,141.0,at-risk
INV002208,7,71.33333333333333,142.0,at-risk
INV002211,7,63.833333333333336,109.0,at-risk
INV002216,8,61.714285714285715,172.0,at-risk
INV002218,6,67.8,181.0,at-risk
INV002219,8,70.85714285714286,166.0,at-risk
INV002228,6,68.6,109.0,at-risk
INV002229,6,64.6,101.0,at-risk
INV002230,8,57.57142857142857,171.0,at-risk
INV002232,7,69.16666666666667,174.0,at-risk
INV002236,7,73.66666666666667,119.0,at-risk
INV002237,7,51.666666666666664,142.0,at-risk
INV002240,7,77.83333333333333,266.0,at-risk
INV002241,7,65.66666666666667,124.0,at-risk
INV002251,6,62.6,157.0,at-risk
INV002256,6,75.6,115.0,at-risk
INV002259,7,45.333333333333336,89.0,at-risk
INV002260,6,77.8,235.0,at-risk
INV002265,7,63.166666666666664,244.0,at-risk
INV002277,7,67.33333333333333,127.0,at-risk
INV002280,7,71.66666666666667,182.0,at-risk
INV002282,6,53.2,102.0,at-risk
INV002284,6,85.0,277.0,at-risk
INV002290,6,61.6,112.0,at-risk
INV002294,8,48.714285714285715,163.0,at-risk
INV002295,7,64.5,159.0,at-risk
INV002298,6,23.2,37.0,regular
INV002304,10,42.55555555555556,104.0,at-risk
INV002315,7,71.83333333333333,174.0,at-risk
INV002319,7,60.0,123.0,at-risk
INV002322,6,63.4,102.0,at-risk
INV002327,6,76.4,215.0,at-risk
INV002329,7,57.0,183.0,at-risk
INV002342,6,74.2,212.0,at-risk
INV002343,9,57.75,115.0,at-risk
INV002347,9,40.5,79.0,at-risk
INV002348,6,94.4,166.0,at-risk
INV002349,6,52.2,75.0,at-risk
INV002351,6,77.2,204.0,at-risk
INV002357,7,68.33333333333333,240.0,at-risk
INV002360,9,56.125,129.0,at-risk
INV002361,6,55.4,198.0,at-risk
INV002367,7,52.5,134.0,at-risk
INV002368,7,61.166666666666664,215.0,at-risk
INV002369,6,60.0,136.0,at-risk
INV002370,7,70.16666666666667,237.0,at-risk
INV002372,6,95.2,133.0,at-risk
INV002373,8,70.14285714285714,154.0,at-risk
INV002374,6,21.2,34.0,regular
INV002384,10,39.111111111111114,92.0,at-risk
INV002388,6,33.2,84.0,regular
INV002389,10,50.77777777777778,126.0,at-risk
INV002390,6,47.0,100.0,at-risk
INV002391,6,40.2,124.0,at-risk
INV002395,6,97.0,225.0,at-risk
INV002400,9,55.375,141.0,at-risk
INV002401,8,59.142857142857146,125.0,at-risk
INV002402,7,47.166666666666664,89.0,at-risk
INV002407,7,47.833333333333336,167.0,at-risk
INV002409,8,55.57142857142857,125.0,at-risk
INV002413,8,53.0,189.0,at-risk
